Question_ID,Question,Answerable_By_Syllabus,Answer
1,What are the prerequisites for the course,1,"(COP 3504 or COP 3503) and COT 3100 and (MAC 2234 or MAC 2312 or MAC 2512 or MAC 3473), all with a minimum grade of a C."
2,How many credits is this course worth,1,3
3,What textbook is recommended for this course,1,OpenDSA Book: https://opendsa-server.cs.vt.edu/ODSA/Books/Everything/html/index.html
4,What are working on in week 3,1,Trees and Traversals
5,Are we allowed to makeup quizzes,1,No
6,Is there a final exam for this course,1,Yes
7,What is the course policy on plagarism,1,"Code policy for �individual� assessments � Project 1 and 2
o Sharing/copying, borrowing of code structure, looking at code from another student or providing
such code, and plagiarism, in addition to other dishonest behaviors, are all considered to be academic
dishonesty.
o Looking at any piece of external code, sharing files, searching for solutions found online, using
AI-generated or -suggested code, or using someone else to code your solution is strictly
prohibited.
o Any student found to have violated these rules, whether a provider or receiver or unauthorized help,
will be given a zero on that assignment and a two-letter final grade decrement for a first offense.
For a second offense, you will get an E grade. Also, for both offenses, you will be reported to the Honor
Court. If you aren�t clear on what constitutes plagiarism, ask the course staff."
8,How will grades be calculated for this course,1,"Programming / HTG Quizzes (drop two lowest scores) 12%
Conceptual quizzes (drop two lowest scores) 10%
Exam 1 20%
Exam 2 (Cumulative) 20%
Project 1 14%
Project 2 10%
Discussion participation activities 4%
Collaborative Final Project (Individual or Group: 3a & 3b) 10%
Individual Extra Credit Opportunities Up to 2%
Total: 102%"
9,Is attendance mandatory,1,No
10,What programming languages are used for this class,1,C++
11,Can I take an exam on another date,0,Not in the Syllabus
12,Have the due dates of any assignments or exams changed,0,Not in the Syllabus
13,May I have a letter of recommendation,0,Not in the Syllabus
14,Have the due dates of any assignments or exams been updated,0,Not in the Syllabus
15,Can you update my grade manually,0,Not in the Syllabus
